Product,Brand,Review,Status
jacket,Levi's,"Then our food came out, disappointment ensued.",1
jacket,Levi's,The real disappointment was our waiter.,1
jacket,Levi's,My husband said she was very rude... did not even apologize for the bad food or anything.,0
jacket,Levi's,The only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach.,0
jacket,Levi's,"Insults, profound deuchebaggery, and had to go outside for a smoke break while serving just to solidify it.",0
jacket,Levi's,If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?,1
jacket,Levi's,She was quite disappointed although some blame needs to be placed at her door.,0
jacket,Levi's,After all the rave reviews I couldn't wait to eat here......what a disappointment!,0
jacket,Levi's,Del Taco is pretty nasty and should be avoided if possible.,0
jacket,Nautica,It's NOT hard to make a decent hamburger.,0
jacket,Nautica,But I don't like it.,1
jacket,Nautica,Hell no will I go back,1
jacket,Nautica,We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.,1
Handbag,AQUA,"""I don't know what the big deal is about this place, but I won't be back """"ya'all"""".""",1
Handbag,AQUA,I immediately said I wanted to talk to the manager but I did not want to talk to the guy who was doing shots of fireball behind the bar.,0
Handbag,AQUA,The ambiance isn't much better.,1
Handbag,AQUA,"Unfortunately, it only set us up for disapppointment with our entrees.",1
Handbag,AQUA,The food wasn't good.,1
Handbag,AQUA,"Your servers suck, wait, correction, our server Heimer sucked.",0
Handbag,AQUA,What happened next was pretty....off putting.,1
Handbag,AQUA,"too bad cause I know it's family owned, I really wanted to like this place.",1
Handbag,AQUA,Overpriced for what you are getting.,0
Handbag,AQUA,I vomited in the bathroom mid lunch.,0
Handbag,AQUA,"I kept looking at the time and it had soon become 35 minutes, yet still no food.",0
Handbag,AQUA,"I have been to very few places to eat that under no circumstances would I ever return to, and this tops the list.",1
Handbag,GANNI,We started with the tuna sashimi which was brownish in color and obviously wasn't fresh.,0
Handbag,GANNI,Food was below average.,1
Handbag,GANNI,It sure does beat the nachos at the movies but I would expect a little bit more coming from a restaurant.,0
Handbag,GANNI,"All in all, Ha Long Bay was a bit of a flop.",1
Handbag,GANNI,The problem I have is that they charge $11.99 for a sandwich that is no bigger than a Subway sub (which offers better and more amount of vegetables).,0
Handbag,GANNI,Shrimp- When I unwrapped it (I live only 1/2 a mile from Brushfire) it was literally ice cold.,0
Handbag,GANNI,"It lacked flavor, seemed undercooked, and dry.",0
Handbag,GANNI,It really is impressive that the place hasn't closed down.,0
Handbag,GANNI,I would avoid this place if you are staying in the Mirage.,0
Handbag,GANNI,The refried beans that came with my meal were dried out and crusty and the food was bland.,0
Handbag,L'alingi,Spend your money and time some place else.,0
Handbag,L'alingi,A lady at the table next to us found a live green caterpillar In her salad.,1
Handbag,L'alingi,the presentation of the food was awful.,1
Handbag,L'alingi,I can't tell you how disappointed I was.,1
Handbag,L'alingi,I think food should have flavor and texture and both were lacking.,1
Handbag,L'alingi,Appetite instantly gone.,1
Handbag,L'alingi,Overall I was not impressed and would not go back.,0
Handbag,L'alingi,"The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time.",0
Handbag,L'alingi,"Then, as if I hadn't wasted enough of my life there, they poured salt in the wound by drawing out the time it took to bring the check.",0
